epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6304,3.01834,3.70768,4.16534,0.00266,0.73779,0.0187,0.0063,2.56736,3.63468,4.1043,0.000655367,0.000655367,0.000655367
2,87.6674,3.01296,3.46015,3.80115,0.05219,0.01168,0.0121,0.00407,2.6393,3.88905,4.36909,0.00130895,0.00130895,0.00130895
3,129.77,2.85393,3.29266,3.46471,0.00836,0.32166,0.00923,0.00357,2.95094,4.65894,5.72356,0.00194932,0.00194932,0.00194932
4,172.268,2.61822,3.01913,3.17744,0.12125,0.06688,0.04049,0.01404,2.42022,4.34477,3.5462,0.0019406,0.0019406,0.0019406
5,215.611,2.31257,2.6688,2.88787,0.2224,0.25478,0.14999,0.06709,2.02813,3.33897,2.83483,0.0019208,0.0019208,0.0019208
6,258.658,2.08628,2.44868,2.6647,0.31936,0.29536,0.22077,0.12274,1.76149,2.98496,2.52694,0.001901,0.001901,0.001901
7,301.323,1.83861,2.14371,2.40438,0.52095,0.45754,0.44472,0.2886,1.53975,2.2497,2.30182,0.0018812,0.0018812,0.0018812
8,343.751,1.63156,1.97197,2.22281,0.47217,0.431,0.43619,0.29717,1.41461,2.37092,2.11815,0.0018614,0.0018614,0.0018614
9,385.9,1.55515,1.87846,2.11517,0.53367,0.56582,0.4559,0.31844,1.27878,1.90377,1.96363,0.0018416,0.0018416,0.0018416
10,428.135,1.41683,1.74845,1.983,0.5157,0.56688,0.47124,0.33212,1.21723,2.01194,1.8567,0.0018218,0.0018218,0.0018218
11,470.365,1.31249,1.60959,1.8738,0.56044,0.56263,0.53349,0.39678,1.11923,1.52281,1.75099,0.001802,0.001802,0.001802
12,513.208,1.25874,1.58618,1.8086,0.6174,0.59766,0.62342,0.46881,1.01858,1.48453,1.68119,0.0017822,0.0017822,0.0017822
13,556.093,1.20985,1.51577,1.76338,0.61515,0.638,0.65512,0.47826,1.01701,1.38079,1.6557,0.0017624,0.0017624,0.0017624
14,609.992,1.15282,1.4634,1.70857,0.57693,0.63163,0.64532,0.50091,0.95015,1.32522,1.61446,0.0017426,0.0017426,0.0017426
15,742.38,1.09877,1.41228,1.65296,0.59502,0.67516,0.679,0.53256,0.91625,1.27843,1.56307,0.0017228,0.0017228,0.0017228
16,892.621,1.07481,1.36643,1.63497,0.62154,0.66242,0.69495,0.54314,0.91978,1.23613,1.54366,0.001703,0.001703,0.001703
17,1028.1,1.0071,1.3012,1.57915,0.65691,0.62739,0.65173,0.51743,0.90006,1.22764,1.52325,0.0016832,0.0016832,0.0016832
