epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,1091.04,1.008,1.27211,1.55763,0.6318,0.61996,0.66199,0.51897,0.86655,1.2661,1.50559,0.0016634,0.0016634,0.0016634
19,1148.04,0.95808,1.26301,1.53146,0.60203,0.67448,0.64513,0.51142,0.86266,1.22902,1.47418,0.0016436,0.0016436,0.0016436
20,1211.38,0.96376,1.25868,1.51309,0.62168,0.69779,0.71673,0.59114,0.78476,1.13331,1.39144,0.0016238,0.0016238,0.0016238
21,1281.84,0.94123,1.22871,1.48424,0.6343,0.71074,0.71951,0.57057,0.86414,1.1324,1.49696,0.001604,0.001604,0.001604
22,1338.3,0.94235,1.23001,1.50107,0.64673,0.64911,0.70967,0.56141,0.86413,1.16226,1.47781,0.0015842,0.0015842,0.0015842
23,1399.29,0.87729,1.15352,1.45513,0.58935,0.67941,0.63592,0.52728,0.78992,1.13851,1.38174,0.0015644,0.0015644,0.0015644
24,1478.93,0.91491,1.18818,1.47082,0.64937,0.70385,0.7253,0.58809,0.80024,1.10008,1.37889,0.0015446,0.0015446,0.0015446
25,1551.73,0.87494,1.16717,1.43767,0.67757,0.69321,0.73462,0.61829,0.7257,1.01901,1.32841,0.0015248,0.0015248,0.0015248
26,1634.06,0.85581,1.12626,1.42585,0.69484,0.69745,0.77155,0.65026,0.71245,1.00105,1.29477,0.001505,0.001505,0.001505
27,1707.7,0.85474,1.11549,1.42089,0.69342,0.6963,0.75155,0.61952,0.715,1.02827,1.30398,0.0014852,0.0014852,0.0014852
28,1787.83,0.8382,1.1381,1.39822,0.62784,0.73779,0.73826,0.61834,0.69056,1.0289,1.29889,0.0014654,0.0014654,0.0014654
29,1875.81,0.82021,1.11753,1.39504,0.65378,0.73036,0.77041,0.64578,0.70145,0.9746,1.28837,0.0014456,0.0014456,0.0014456
30,1956.32,0.81248,1.10178,1.37321,0.70937,0.72081,0.79598,0.67872,0.6549,0.92208,1.23277,0.0014258,0.0014258,0.0014258
31,2042.05,0.79826,1.06325,1.37934,0.6628,0.75053,0.77503,0.6547,0.71297,1.00032,1.28165,0.001406,0.001406,0.001406
32,2131.38,0.79568,1.10277,1.35358,0.67488,0.71617,0.76963,0.6527,0.67351,0.96884,1.25624,0.0013862,0.0013862,0.0013862
33,2209.58,0.82333,1.07903,1.38265,0.69431,0.70701,0.77676,0.66936,0.66283,0.92933,1.22586,0.0013664,0.0013664,0.0013664
34,2289.03,0.78333,1.05383,1.33637,0.71986,0.7155,0.78045,0.66546,0.63938,0.91277,1.21125,0.0013466,0.0013466,0.0013466
35,2354.99,0.7736,1.03525,1.33772,0.65712,0.74098,0.76988,0.65851,0.65992,0.94164,1.23118,0.0013268,0.0013268,0.0013268
36,2406.34,0.75467,1.00781,1.33027,0.71565,0.74274,0.79621,0.69286,0.61457,0.93143,1.1913,0.001307,0.001307,0.001307
37,2475.26,0.73579,1.00401,1.31367,0.71965,0.74628,0.8084,0.70739,0.59052,0.85213,1.15784,0.0012872,0.0012872,0.0012872
38,2545.76,0.7331,0.96842,1.29525,0.72517,0.73567,0.79876,0.70126,0.60058,0.86324,1.16599,0.0012674,0.0012674,0.0012674
39,2640.2,0.74187,1.02023,1.29977,0.7129,0.71701,0.79341,0.69515,0.58728,0.88378,1.15545,0.0012476,0.0012476,0.0012476
40,2721.39,0.72718,0.97089,1.29735,0.78615,0.68259,0.81433,0.70698,0.61967,0.8506,1.17988,0.0012278,0.0012278,0.0012278
41,2804.29,0.69061,0.95398,1.28435,0.7217,0.75156,0.81459,0.70948,0.58054,0.84199,1.15428,0.001208,0.001208,0.001208
42,2887.51,0.70832,0.9685,1.29119,0.77603,0.68415,0.82189,0.71435,0.61018,0.84848,1.16652,0.0011882,0.0011882,0.0011882
43,2956.2,0.68986,0.93374,1.25005,0.73512,0.76433,0.83077,0.72685,0.581,0.83507,1.14023,0.0011684,0.0011684,0.0011684
44,3011.97,0.70858,0.95696,1.28002,0.7139,0.75478,0.82249,0.72396,0.56884,0.82067,1.1313,0.0011486,0.0011486,0.0011486
45,3068.21,0.69817,0.96106,1.28026,0.69478,0.77568,0.80975,0.71623,0.5627,0.81643,1.12893,0.0011288,0.0011288,0.0011288
46,3128.76,0.6951,0.94995,1.26037,0.68841,0.76539,0.79889,0.69772,0.5994,0.87217,1.14286,0.001109,0.001109,0.001109
47,3190.26,0.70602,0.96048,1.2796,0.72674,0.73992,0.81224,0.71893,0.56749,0.83477,1.12257,0.0010892,0.0010892,0.0010892
48,3238.7,0.6954,0.93201,1.26884,0.69497,0.79092,0.80789,0.712,0.58982,0.82417,1.14045,0.0010694,0.0010694,0.0010694
49,3286,0.6693,0.90807,1.2523,0.71244,0.77282,0.82385,0.72582,0.57901,0.80333,1.12315,0.0010496,0.0010496,0.0010496
50,3343.11,0.66409,0.90362,1.23788,0.72157,0.76327,0.827,0.73939,0.54743,0.79569,1.10813,0.0010298,0.0010298,0.0010298
51,3404.45,0.67536,0.91795,1.24827,0.74186,0.76221,0.83661,0.74617,0.54485,0.78463,1.09691,0.00101,0.00101,0.00101
52,3463.75,0.67614,0.90654,1.23523,0.70634,0.77282,0.79822,0.71041,0.53261,0.81366,1.08415,0.0009902,0.0009902,0.0009902
53,3518.72,0.69519,0.95007,1.26664,0.72128,0.77495,0.82669,0.73269,0.56146,0.79894,1.12258,0.0009704,0.0009704,0.0009704
54,3582.59,0.65334,0.90546,1.2243,0.74143,0.77319,0.82419,0.72975,0.54944,0.80651,1.10871,0.0009506,0.0009506,0.0009506
55,3642.98,0.64979,0.87333,1.22375,0.71734,0.7813,0.82415,0.74181,0.53827,0.77928,1.09531,0.0009308,0.0009308,0.0009308
56,3698.23,0.63814,0.89007,1.21114,0.78295,0.77282,0.85765,0.76773,0.52303,0.75051,1.07869,0.000911,0.000911,0.000911
57,3757.71,0.64804,0.90834,1.22048,0.73273,0.77998,0.84012,0.75628,0.52196,0.77357,1.08029,0.0008912,0.0008912,0.0008912
58,3819.16,0.63063,0.83551,1.21328,0.72219,0.81316,0.84239,0.76122,0.51668,0.75509,1.06594,0.0008714,0.0008714,0.0008714
59,3876.86,0.65267,0.90969,1.21778,0.74538,0.77282,0.84534,0.75981,0.52579,0.78085,1.07332,0.0008516,0.0008516,0.0008516
60,3938.79,0.63048,0.83984,1.21121,0.79223,0.73885,0.85116,0.76752,0.51615,0.74385,1.067,0.0008318,0.0008318,0.0008318
61,3999.26,0.60679,0.83552,1.1875,0.78313,0.77919,0.8604,0.76921,0.52296,0.73212,1.06451,0.000812,0.000812,0.000812
62,4060.21,0.62398,0.8426,1.2038,0.79073,0.75584,0.84973,0.76775,0.51596,0.72598,1.06006,0.0007922,0.0007922,0.0007922
63,4127.64,0.61814,0.85658,1.1981,0.79258,0.80149,0.87353,0.79337,0.50536,0.68857,1.06285,0.0007724,0.0007724,0.0007724
64,4187.43,0.61411,0.85174,1.20863,0.83184,0.74566,0.86558,0.78026,0.50603,0.71057,1.05648,0.0007526,0.0007526,0.0007526
65,4249.37,0.63181,0.86801,1.22099,0.79711,0.79724,0.87408,0.79294,0.48875,0.68742,1.03935,0.0007328,0.0007328,0.0007328
66,4308.57,0.59688,0.82906,1.18117,0.73177,0.79065,0.84872,0.76865,0.50415,0.74169,1.05634,0.000713,0.000713,0.000713
67,4376.29,0.61201,0.84492,1.19885,0.78083,0.79193,0.86824,0.79123,0.48626,0.69169,1.02885,0.0006932,0.0006932,0.0006932
68,4437.02,0.60648,0.81745,1.19504,0.79766,0.77707,0.87363,0.79578,0.48676,0.70539,1.03391,0.0006734,0.0006734,0.0006734
69,4502.36,0.5873,0.81071,1.17451,0.75837,0.80149,0.87428,0.78718,0.5216,0.69582,1.06697,0.0006536,0.0006536,0.0006536
70,4565.3,0.58235,0.80303,1.17504,0.79602,0.75396,0.86663,0.78678,0.49552,0.7234,1.03225,0.0006338,0.0006338,0.0006338
71,4625.81,0.5979,0.8007,1.19098,0.76889,0.80042,0.87504,0.80084,0.46907,0.67558,1.02009,0.000614,0.000614,0.000614
72,4684.41,0.57889,0.81087,1.16949,0.80886,0.78238,0.87607,0.80018,0.46522,0.69236,1.0202,0.0005942,0.0005942,0.0005942
73,4750.96,0.57969,0.81056,1.18593,0.74496,0.82484,0.86473,0.7927,0.47143,0.68643,1.02738,0.0005744,0.0005744,0.0005744
74,4810.72,0.5745,0.80478,1.17832,0.79549,0.77389,0.8672,0.79115,0.46929,0.67039,1.01454,0.0005546,0.0005546,0.0005546
75,4872.98,0.57833,0.79441,1.18004,0.78095,0.80998,0.87716,0.8078,0.45669,0.66837,1.00829,0.0005348,0.0005348,0.0005348
76,4928.08,0.5732,0.79371,1.15879,0.79206,0.80469,0.87905,0.80525,0.45948,0.66391,1.01187,0.000515,0.000515,0.000515
77,4972.53,0.56061,0.77023,1.15103,0.80416,0.79769,0.88074,0.80778,0.45995,0.65869,1.0037,0.0004952,0.0004952,0.0004952
78,5095.34,0.56396,0.78567,1.15045,0.7838,0.80437,0.88259,0.80859,0.45149,0.64809,0.9984,0.0004754,0.0004754,0.0004754
79,5237.29,0.55271,0.74983,1.14863,0.78429,0.81439,0.88621,0.81443,0.45285,0.64626,1.0003,0.0004556,0.0004556,0.0004556
80,5383.91,0.56697,0.7747,1.15489,0.78166,0.82851,0.88891,0.82013,0.44679,0.63559,0.99276,0.0004358,0.0004358,0.0004358
81,5532.45,0.56478,0.78775,1.16246,0.77021,0.82484,0.88764,0.81198,0.45763,0.64876,0.99759,0.000416,0.000416,0.000416
82,5680.05,0.57246,0.79949,1.15926,0.80819,0.7917,0.88472,0.81517,0.45038,0.63615,0.99678,0.0003962,0.0003962,0.0003962
83,5817.28,0.55768,0.7756,1.15837,0.81944,0.80042,0.90066,0.8335,0.4408,0.61616,0.98274,0.0003764,0.0003764,0.0003764
84,5960.45,0.54073,0.76443,1.14387,0.79462,0.82146,0.89756,0.83047,0.43003,0.60237,0.9778,0.0003566,0.0003566,0.0003566
85,6102.99,0.54971,0.77192,1.14615,0.81138,0.81286,0.89412,0.82375,0.43208,0.6237,0.98422,0.0003368,0.0003368,0.0003368
86,6247.96,0.55606,0.75594,1.15549,0.81238,0.82378,0.89847,0.83492,0.42611,0.60209,0.97506,0.000317,0.000317,0.000317
87,6392.27,0.54283,0.73759,1.13614,0.8015,0.81741,0.89972,0.83704,0.42106,0.59966,0.97181,0.0002972,0.0002972,0.0002972
88,6535.01,0.51478,0.71147,1.11465,0.81606,0.83333,0.90284,0.8415,0.41517,0.58471,0.96419,0.0002774,0.0002774,0.0002774
89,6679.32,0.53101,0.73727,1.14268,0.82368,0.81529,0.90543,0.84134,0.42368,0.59301,0.97458,0.0002576,0.0002576,0.0002576
90,6831.33,0.52148,0.73364,1.1236,0.81225,0.80467,0.89876,0.83308,0.42507,0.60163,0.97345,0.0002378,0.0002378,0.0002378
91,7011.78,0.45636,0.71314,1.05401,0.77512,0.83227,0.88919,0.82205,0.43822,0.62692,0.97446,0.000218,0.000218,0.000218
92,7165.25,0.43596,0.64257,1.03337,0.80314,0.83154,0.89704,0.83552,0.42075,0.59531,0.96145,0.0001982,0.0001982,0.0001982
93,7318.58,0.42979,0.64546,1.04127,0.79452,0.8579,0.90714,0.84243,0.41579,0.58278,0.96267,0.0001784,0.0001784,0.0001784
94,7472.06,0.42559,0.62433,1.03165,0.80264,0.8548,0.90992,0.84645,0.41316,0.57285,0.96067,0.0001586,0.0001586,0.0001586
95,7617.74,0.43241,0.60084,1.04241,0.81526,0.82484,0.90944,0.84543,0.4124,0.57536,0.95531,0.0001388,0.0001388,0.0001388
96,7762.64,0.42508,0.60583,1.02746,0.81601,0.84278,0.91354,0.84796,0.40766,0.56623,0.95043,0.000119,0.000119,0.000119
97,7907.87,0.41862,0.60653,1.02639,0.84656,0.8317,0.91912,0.85613,0.4087,0.55403,0.95151,9.92e-05,9.92e-05,9.92e-05
98,8052.54,0.42164,0.58924,1.028,0.81739,0.85059,0.91709,0.85434,0.39846,0.5519,0.94568,7.94e-05,7.94e-05,7.94e-05
99,8194.2,0.41697,0.59314,1.03046,0.83381,0.8575,0.92295,0.861,0.39628,0.53908,0.94502,5.96e-05,5.96e-05,5.96e-05
100,8331.65,0.41524,0.58556,1.01909,0.83513,0.85501,0.92217,0.86245,0.39344,0.53993,0.94168,3.98e-05,3.98e-05,3.98e-05
