epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,8080.71,1.1523,1.39942,1.72977,0.66209,0.62,0.65507,0.49206,1.03019,1.50229,1.68122,0.0007328,0.0007328,0.0007328
66,8230.02,1.19744,1.3567,1.74649,0.65648,0.73577,0.67885,0.5173,1.00036,1.37207,1.64559,0.000713,0.000713,0.000713
67,8377.64,1.16204,1.4499,1.69934,0.64775,0.755,0.7278,0.56744,0.97465,1.28722,1.61796,0.0006932,0.0006932,0.0006932
68,8523.04,1.10236,1.30434,1.65536,0.59598,0.825,0.7028,0.54365,0.93993,1.30355,1.60005,0.0006734,0.0006734,0.0006734
69,8666.28,1.08266,1.28134,1.66684,0.62836,0.775,0.70335,0.53281,0.92112,1.29626,1.58778,0.0006536,0.0006536,0.0006536
70,8791.29,1.11602,1.43918,1.68582,0.72446,0.7,0.7275,0.5667,0.86695,1.245,1.53539,0.0006338,0.0006338,0.0006338
71,8910.22,1.08076,1.3279,1.63139,0.64184,0.78,0.72848,0.57798,0.89646,1.25221,1.54289,0.000614,0.000614,0.000614
72,9031.07,1.13536,1.33321,1.68364,0.63809,0.8,0.73499,0.59441,0.91716,1.23662,1.55593,0.0005942,0.0005942,0.0005942
73,9152.36,1.10244,1.30392,1.65237,0.65835,0.78042,0.75744,0.59889,0.94646,1.26207,1.59139,0.0005744,0.0005744,0.0005744
74,9358.14,1.0691,1.3246,1.60915,0.68039,0.74,0.74473,0.60153,0.87641,1.25676,1.51186,0.0005546,0.0005546,0.0005546
75,9563.67,1.04018,1.25703,1.5923,0.63824,0.82,0.74837,0.59782,0.89662,1.28233,1.52459,0.0005348,0.0005348,0.0005348
76,9756.55,1.06333,1.27055,1.61461,0.66192,0.80274,0.75663,0.61188,0.84177,1.22646,1.48809,0.000515,0.000515,0.000515
77,9943.56,1.02638,1.24265,1.57164,0.6721,0.75841,0.73838,0.58825,0.87042,1.23575,1.49953,0.0004952,0.0004952,0.0004952
78,10155,1.05318,1.26373,1.59784,0.6737,0.815,0.76693,0.62369,0.82384,1.20454,1.45829,0.0004754,0.0004754,0.0004754
79,10345.7,1.01408,1.21547,1.60792,0.68477,0.8146,0.77769,0.62911,0.82184,1.17857,1.45743,0.0004556,0.0004556,0.0004556
80,10536.7,1.02047,1.19979,1.58776,0.68188,0.79,0.77718,0.63563,0.83264,1.17997,1.47989,0.0004358,0.0004358,0.0004358
81,10727.5,1.01587,1.21251,1.58595,0.67253,0.785,0.76499,0.62692,0.81907,1.14178,1.4512,0.000416,0.000416,0.000416
82,10920.7,1.028,1.22522,1.57993,0.66992,0.82,0.76986,0.62691,0.8156,1.12261,1.44744,0.0003962,0.0003962,0.0003962
83,11115.7,0.9391,1.1315,1.56026,0.68117,0.81186,0.77691,0.62933,0.80314,1.12534,1.45419,0.0003764,0.0003764,0.0003764
84,11304.7,1.01152,1.2234,1.59676,0.6725,0.8419,0.78502,0.64454,0.78094,1.1151,1.42853,0.0003566,0.0003566,0.0003566
85,11498.4,0.96969,1.18203,1.56472,0.66641,0.825,0.77862,0.65402,0.77871,1.11074,1.4137,0.0003368,0.0003368,0.0003368
86,11691.5,1.07311,1.26377,1.62045,0.68444,0.78,0.76729,0.64597,0.78097,1.13952,1.41436,0.000317,0.000317,0.000317
87,11887.1,0.91884,1.18492,1.49786,0.70875,0.75438,0.77308,0.64044,0.79399,1.15736,1.43127,0.0002972,0.0002972,0.0002972
88,12084.9,0.99233,1.16646,1.54645,0.77834,0.755,0.81204,0.67055,0.79259,1.09069,1.42068,0.0002774,0.0002774,0.0002774
89,12280.5,1.01459,1.2727,1.59626,0.6878,0.81516,0.80444,0.66627,0.77312,1.11721,1.40875,0.0002576,0.0002576,0.0002576
90,12466.9,0.94089,1.16056,1.52888,0.71596,0.775,0.80403,0.67728,0.75545,1.0884,1.38534,0.0002378,0.0002378,0.0002378
91,12658.9,0.79919,1.23405,1.40855,0.72437,0.8147,0.80813,0.67342,0.75795,1.08144,1.38701,0.000218,0.000218,0.000218
92,12853.4,0.79915,1.15739,1.45613,0.70526,0.78963,0.79888,0.66437,0.75957,1.17248,1.40474,0.0001982,0.0001982,0.0001982
93,13055.6,0.78699,1.06296,1.46869,0.72467,0.755,0.79904,0.66344,0.75624,1.13551,1.40076,0.0001784,0.0001784,0.0001784
94,13237.2,0.80851,1.08027,1.43451,0.70814,0.785,0.80946,0.68559,0.74694,1.06052,1.37785,0.0001586,0.0001586,0.0001586
95,13451.7,0.73431,1.03028,1.36357,0.6689,0.815,0.79635,0.67684,0.74087,1.04977,1.3524,0.0001388,0.0001388,0.0001388
96,13641.8,0.75039,1.04463,1.39571,0.69868,0.81,0.79689,0.68237,0.71096,1.0297,1.31641,0.000119,0.000119,0.000119
97,13846.4,0.73212,0.99685,1.36711,0.67672,0.845,0.81083,0.69675,0.70482,1.00746,1.31362,9.92e-05,9.92e-05,9.92e-05
98,14052.6,0.73179,1.03905,1.39215,0.70458,0.825,0.82415,0.70275,0.71102,1.00176,1.31843,7.94e-05,7.94e-05,7.94e-05
99,14247.4,0.72289,0.97326,1.38033,0.73721,0.79952,0.8327,0.71189,0.70939,1.002,1.31834,5.96e-05,5.96e-05,5.96e-05
100,14452.3,0.74078,1.03883,1.37384,0.75886,0.77101,0.83484,0.7166,0.69959,0.99615,1.30924,3.98e-05,3.98e-05,3.98e-05
