epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.861,3.05726,3.72088,4.22289,0.00272,0.75,0.02508,0.00749,2.60415,4.03399,4.15686,0.00024,0.00024,0.00024
2,191.652,3.00574,3.69704,4.17937,0.00272,0.74,0.04707,0.01198,2.60671,4.03318,4.14707,0.00049505,0.00049505,0.00049505
3,300.197,3.05659,3.6981,4.1365,0.0027,0.75,0.02805,0.00827,2.60358,4.01023,4.11974,0.000744952,0.000744952,0.000744952
4,422.848,3.03833,3.55294,4.07368,0.00257,0.735,0.07936,0.0184,2.62361,4.04128,4.06208,0.000989706,0.000989706,0.000989706
5,545.946,3.00124,3.50217,3.9588,0.0022,0.63,0.03499,0.01184,2.70045,4.08782,4.04183,0.00122931,0.00122931,0.00122931
6,671.995,2.99037,3.38459,3.76831,0.00264,0.73,0.01941,0.00643,2.54101,3.84459,4.34916,0.00146377,0.00146377,0.00146377
7,800.819,2.99374,3.36232,3.67308,0.01531,0.275,0.01455,0.00541,2.64856,4.16148,4.03237,0.00169308,0.00169308,0.00169308
8,933.136,3.04549,3.27037,3.6119,0.00844,0.24,0.00553,0.00219,2.70887,10.7752,4.53195,0.0018614,0.0018614,0.0018614
9,1075.86,2.94393,3.29299,3.5095,0.01474,0.135,0.00751,0.00253,2.73821,9.06819,4.56419,0.0018416,0.0018416,0.0018416
10,1211.11,2.97652,3.24781,3.50277,0.01803,0.125,0.00764,0.00277,2.9501,15.1138,5.49947,0.0018218,0.0018218,0.0018218
11,1335.18,3.00813,3.20581,3.49784,0.0334,0.12,0.01479,0.00487,2.82373,18.8346,3.76189,0.001802,0.001802,0.001802
12,1453.86,3.05559,3.24737,3.49277,0.03624,0.145,0.0167,0.00532,2.85129,16.2982,3.62666,0.0017822,0.0017822,0.0017822
13,1577.97,2.93351,3.21988,3.4274,0.05662,0.18,0.02083,0.00587,2.80387,11.8634,3.62406,0.0017624,0.0017624,0.0017624
14,1711.54,3.03721,3.14139,3.48861,0.06022,0.14,0.02875,0.00825,2.73482,7.99033,3.58472,0.0017426,0.0017426,0.0017426
15,1847.72,2.91351,3.14068,3.3712,0.11122,0.16,0.08233,0.01868,2.61584,6.47308,3.28158,0.0017228,0.0017228,0.0017228
16,1981.73,2.99965,3.18063,3.36841,0.18606,0.275,0.13589,0.05176,2.45286,3.376,3.23141,0.001703,0.001703,0.001703
17,2105.22,2.8914,3.15274,3.36891,0.10718,0.15,0.04149,0.01378,2.82393,3.86031,3.56015,0.0016832,0.0016832,0.0016832
18,2224.8,2.88685,3.02562,3.28322,0.00548,0.77,0.16187,0.05508,2.58411,3.30504,3.4921,0.0016634,0.0016634,0.0016634
19,2344.13,2.7723,2.93524,3.23346,0.38507,0.125,0.14589,0.0591,2.42701,3.28405,3.4144,0.0016436,0.0016436,0.0016436
20,2468.39,2.74891,2.89107,3.16025,0.17478,0.19,0.10815,0.04944,2.46963,3.41269,3.79228,0.0016238,0.0016238,0.0016238
21,2588.77,2.66075,2.76649,3.0599,0.0142,0.735,0.11932,0.05126,2.41098,3.52204,3.61999,0.001604,0.001604,0.001604
22,2708.96,2.60532,2.66215,2.98847,0.01158,0.64,0.06429,0.03014,2.60419,3.70756,3.92714,0.0015842,0.0015842,0.0015842
23,2830.06,2.50144,2.6545,2.92514,0.01671,0.75,0.18885,0.06286,2.37903,3.48013,3.4777,0.0015644,0.0015644,0.0015644
24,2951.46,2.47573,2.71853,2.93072,0.39913,0.135,0.18563,0.04936,2.4713,3.25476,3.40852,0.0015446,0.0015446,0.0015446
25,3072.77,2.43223,2.59098,2.8782,0.41591,0.21719,0.23256,0.11032,2.27905,3.14795,3.17018,0.0015248,0.0015248,0.0015248
26,3194.29,2.34181,2.5774,2.85143,0.25261,0.3,0.1977,0.09135,2.25524,2.99866,3.06936,0.001505,0.001505,0.001505
27,3316.22,2.20301,2.47313,2.74165,0.41651,0.36,0.27571,0.11948,2.09862,2.77471,2.85748,0.0014852,0.0014852,0.0014852
28,3438.66,2.22515,2.53223,2.70543,0.42952,0.34635,0.35053,0.20305,1.95894,2.73573,2.74152,0.0014654,0.0014654,0.0014654
29,3561.44,2.12761,2.38851,2.66217,0.46361,0.38895,0.32575,0.17071,1.91223,2.74909,2.6819,0.0014456,0.0014456,0.0014456
30,3685.05,2.10639,2.42121,2.6328,0.41883,0.46,0.35001,0.19938,1.95764,2.68989,2.70305,0.0014258,0.0014258,0.0014258
31,3808.06,2.03119,2.31773,2.5574,0.50353,0.53247,0.39447,0.22635,1.83518,2.56297,2.55969,0.001406,0.001406,0.001406
32,3930.79,2.01026,2.37912,2.49866,0.34089,0.485,0.31849,0.17817,1.8378,2.56688,2.50274,0.0013862,0.0013862,0.0013862
33,4054.44,1.94941,2.27439,2.44215,0.46841,0.43177,0.36535,0.20943,1.77062,3.72142,2.49008,0.0013664,0.0013664,0.0013664
34,4177.4,1.94108,2.29682,2.493,0.3633,0.335,0.30576,0.16484,1.81942,4.298,2.52894,0.0013466,0.0013466,0.0013466
35,4301.07,1.85078,2.08396,2.37462,0.47353,0.425,0.39986,0.25353,1.55404,3.15466,2.24578,0.0013268,0.0013268,0.0013268
36,4424.5,1.85234,2.13028,2.30287,0.42481,0.285,0.28638,0.18581,1.58287,5.28064,2.27814,0.001307,0.001307,0.001307
37,4548.65,1.72113,2.04693,2.30038,0.4103,0.485,0.40032,0.25521,1.55038,2.81732,2.22739,0.0012872,0.0012872,0.0012872
38,4671.22,1.69046,1.96235,2.24234,0.56197,0.475,0.51126,0.3086,1.59,2.17554,2.27098,0.0012674,0.0012674,0.0012674
39,4794.39,1.72251,2.0102,2.23602,0.50417,0.54,0.47394,0.30651,1.57104,2.25371,2.23226,0.0012476,0.0012476,0.0012476
40,4916.62,1.72466,1.94435,2.25438,0.49472,0.435,0.4144,0.25561,1.58695,2.43327,2.32584,0.0012278,0.0012278,0.0012278
41,5039.14,1.65919,1.98533,2.19134,0.50433,0.52,0.46299,0.30431,1.46348,2.23475,2.15386,0.001208,0.001208,0.001208
42,5162.92,1.6746,1.92221,2.18458,0.40006,0.475,0.39568,0.21652,1.71796,3.06816,2.41404,0.0011882,0.0011882,0.0011882
43,5286.39,1.57647,1.89813,2.13437,0.51869,0.545,0.47246,0.28388,1.52771,2.37505,2.24565,0.0011684,0.0011684,0.0011684
44,5409.13,1.58598,1.83782,2.12834,0.56607,0.585,0.54688,0.36698,1.31269,1.92824,2.00978,0.0011486,0.0011486,0.0011486
45,5532.88,1.58822,1.84762,2.12925,0.57299,0.575,0.54288,0.34118,1.41985,1.96898,2.09675,0.0011288,0.0011288,0.0011288
46,5655.84,1.54275,1.78266,2.06493,0.5584,0.61961,0.52222,0.34079,1.3805,1.97286,2.06961,0.001109,0.001109,0.001109
47,5778.6,1.50826,1.73105,2.02389,0.54156,0.63,0.56433,0.37111,1.33223,1.86513,2.03012,0.0010892,0.0010892,0.0010892
48,5900.39,1.46284,1.75075,2.01969,0.64285,0.57,0.59198,0.40876,1.28521,1.86021,1.99846,0.0010694,0.0010694,0.0010694
49,6022.36,1.42541,1.70661,1.94469,0.6199,0.62,0.58808,0.40237,1.24666,1.75339,1.93361,0.0010496,0.0010496,0.0010496
50,6146.81,1.45267,1.77283,2.02408,0.58349,0.65142,0.62625,0.43593,1.22396,1.66744,1.93509,0.0010298,0.0010298,0.0010298
51,6268.81,1.41239,1.68058,1.96208,0.57501,0.695,0.63226,0.44999,1.22274,1.64445,1.932,0.00101,0.00101,0.00101
52,6391.48,1.38234,1.61476,1.94637,0.6431,0.59,0.61858,0.44484,1.26594,1.67122,1.96251,0.0009902,0.0009902,0.0009902
53,6513.95,1.38797,1.59729,1.93453,0.49223,0.57,0.48718,0.34527,1.30745,1.90375,2.03487,0.0009704,0.0009704,0.0009704
54,6637.44,1.34964,1.56872,1.92141,0.66932,0.61,0.65203,0.4633,1.19536,1.56916,1.88567,0.0009506,0.0009506,0.0009506
55,6760.65,1.41534,1.63057,1.95416,0.6457,0.585,0.6305,0.44469,1.20252,1.56791,1.88965,0.0009308,0.0009308,0.0009308
56,6884.21,1.25676,1.54899,1.86102,0.60624,0.68512,0.61166,0.43931,1.10731,1.63169,1.80991,0.000911,0.000911,0.000911
57,7007.65,1.26719,1.52288,1.82988,0.64899,0.65,0.60274,0.42969,1.14791,1.65941,1.78225,0.0008912,0.0008912,0.0008912
58,7130.68,1.2762,1.46032,1.79153,0.61438,0.735,0.63061,0.46071,1.08116,1.52817,1.74233,0.0008714,0.0008714,0.0008714
59,7254.03,1.27739,1.55677,1.84904,0.63581,0.725,0.62855,0.46849,1.05905,1.51496,1.74193,0.0008516,0.0008516,0.0008516
60,7376.44,1.23267,1.52473,1.821,0.62888,0.69476,0.65437,0.45639,1.15941,1.53099,1.8101,0.0008318,0.0008318,0.0008318
61,7511.23,1.28895,1.54067,1.84103,0.58463,0.72,0.64446,0.44475,1.06977,1.54836,1.76861,0.000812,0.000812,0.000812
62,7647.37,1.23399,1.44617,1.77393,0.60685,0.70231,0.64739,0.45349,1.10854,1.59981,1.78055,0.0007922,0.0007922,0.0007922
63,7782.97,1.32945,1.55347,1.85341,0.63755,0.67724,0.66547,0.49653,1.02708,1.48659,1.70206,0.0007724,0.0007724,0.0007724
64,7931.24,1.19067,1.43117,1.75355,0.64796,0.61661,0.64613,0.49854,0.99563,1.57791,1.65183,0.0007526,0.0007526,0.0007526
